X,Y,Half,Player1 Name,Player1 Team,Match Name
31.64,0.47,1,Dickson ETUHU,Fulham,12.02.25 Queens Park Rangers v Fulham
38.22,-14.4,1,Moussa DEMBELE,Fulham,12.02.25 Queens Park Rangers v Fulham
-33.33,17.76,0,Danny WELBECK,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
33.12,1.75,0,Kevin DOYLE,Wolverhampton Wanderers,12.03.18 Wolverhampton Wanderers v Manchester United
-33.93,-12.33,0,Michael CARRICK,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
-28.92,12.37,0,Michael CARRICK,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
-47.92,0.23,0,Jonny EVANS,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
-47.81,-8.18,0,Antonio VALENCIA,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
-34.84,5.02,0,Danny WELBECK,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
-29.27,-14.81,0,Patrice EVRA,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
-39.72,-3.98,0,Danny WELBECK,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
-29.44,-1.75,0,Michael CARRICK,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
29.27,13.74,1,RAFAEL,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
26.38,-6.91,1,Wayne ROONEY,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
46.48,-7.19,1,Javier HERNANDEZ,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
35.63,11.71,1,Danny WELBECK,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
-35.62,6.46,1,Michael KIGHTLY,Wolverhampton Wanderers,12.03.18 Wolverhampton Wanderers v Manchester United
32.86,-0.34,1,Wayne ROONEY,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
31.73,1.01,1,Javier HERNANDEZ,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
29.36,-7.87,1,Fabio DA SILVA,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
39.13,-2.6,1,Danny WELBECK,Manchester United,12.03.18 Wolverhampton Wanderers v Manchester United
